3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtQual,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,FireplaceQu,Fireplaces,Foundation,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotalBsmtSF,WoodDeckSF,YearBuilt_age,TotalLivingArea,NonKitchenBedroomAbvGr,BathRooms
0,3,1Fam,5.0,1.0,3,1,5.0,Y,Norm,SBrkr,0,5,5,HdBoard,0.0,0,CBlock,384.0,1.0,5.0,1,5.0,Detchd,1040,GasA,9,1Story,1,5.0,Lvl,Gtl,11200,Inside,Reg,0,20,RL,0.0,None,2,Sawyer,0,5,5,Y,0,CompShg,Hip,Normal,129500.0,WD,0,1040.0,0,53,2464.0,1,2
0,4,1Fam,5.0,1.0,6,1,9.0,Y,Norm,SBrkr,0,5,9,WdShing,7.0,2,PConc,736.0,3.0,5.0,3,5.0,BuiltIn,2324,GasA,9,2Story,1,9.0,Lvl,Gtl,11924,Inside,IR1,0,60,RL,286.0,Stone,7,NridgHt,21,5,9,Y,0,CompShg,Hip,Partial,345000.0,New,0,1175.0,147,13,4689.0,6,4
0,2,1Fam,5.0,1.0,5,1,5.0,Y,Norm,SBrkr,0,5,5,HdBoard,0.0,0,CBlock,352.0,1.0,5.0,1,5.0,Detchd,912,GasA,5,1Story,1,5.0,Lvl,Gtl,12968,Inside,IR2,0,20,RL,0.0,None,9,Sawyer,0,6,5,Y,0,CompShg,Hip,Normal,144000.0,WD,176,912.0,140,56,2492.0,1,2
0,3,1Fam,5.0,3.0,1,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,840.0,3.0,5.0,2,5.0,Attchd,1494,GasA,9,1Story,1,7.0,Lvl,Gtl,10652,Inside,IR1,0,20,RL,306.0,Stone,8,CollgCr,33,5,7,Y,0,CompShg,Gable,Partial,279500.0,New,0,1494.0,160,12,4327.0,3,2
0,2,1Fam,5.0,1.0,4,1,5.0,Y,Norm,SBrkr,176,5,5,MetalSd,3.0,1,CBlock,352.0,1.0,5.0,2,5.0,Attchd,1253,GasA,5,1Story,1,5.0,Lvl,Gtl,10920,Corner,IR1,0,20,RL,212.0,BrkFace,5,NAmes,213,5,6,Y,0,CompShg,Hip,Normal,157000.0,WD,0,1253.0,0,58,3459.0,2,3
0,2,1Fam,5.0,1.0,1,1,5.0,Y,Norm,FuseA,0,5,5,Wd Sdng,0.0,0,BrkTil,576.0,2.0,5.0,1,5.0,Detchd,854,GasA,9,1.5Unf,1,5.0,Lvl,Gtl,6120,Corner,Reg,0,45,RM,0.0,None,7,BrkSide,112,8,7,Y,0,CompShg,Gable,Normal,132000.0,WD,0,832.0,48,89,2422.0,2,1
0,2,1Fam,5.0,1.0,5,1,5.0,Y,Norm,SBrkr,0,5,5,Wd Sdng,5.0,1,CBlock,480.0,2.0,5.0,3,5.0,Attchd,1004,GasA,9,1Story,1,5.0,Lvl,Gtl,11241,CulDSac,IR1,0,20,RL,180.0,BrkFace,3,NAmes,0,7,6,Y,0,CompShg,Gable,Normal,149000.0,WD,0,1004.0,0,48,2668.0,2,2
0,2,Duplex,0.0,0.0,0,0,0.0,Y,Norm,SBrkr,0,5,5,MetalSd,0.0,0,Slab,516.0,2.0,5.0,1,5.0,CarPort,1296,GasA,5,1Story,2,5.0,Lvl,Gtl,10791,Inside,Reg,0,90,RL,0.0,None,10,Sawyer,0,5,4,Y,0,CompShg,Gable,Normal,90000.0,WD,0,0.0,0,51,1812.0,2,2
0,3,1Fam,5.0,1.0,6,1,5.0,Y,RRAe,SBrkr,0,5,5,VinylSd,0.0,0,PConc,576.0,2.0,5.0,1,5.0,Detchd,1114,GasA,9,1Story,1,7.0,Lvl,Gtl,13695,Inside,Reg,0,20,RL,0.0,None,6,SawyerW,102,5,5,Y,0,CompShg,Gable,Normal,159000.0,WD,0,1114.0,0,14,2906.0,2,3
0,3,1Fam,5.0,1.0,2,1,5.0,Y,Norm,SBrkr,0,5,5,BrkFace,0.0,0,CBlock,294.0,1.0,5.0,1,5.0,Attchd,1339,GasA,5,1Story,1,5.0,Lvl,Gtl,7560,Inside,Reg,0,20,RL,0.0,None,5,NAmes,0,6,5,Y,0,CompShg,Hip,Abnorml,139000.0,COD,0,1029.0,0,60,2662.0,2,1
0,4,1Fam,5.0,3.0,1,1,9.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,853.0,3.0,5.0,2,5.0,BuiltIn,2376,GasA,9,2Story,1,7.0,Lvl,Gtl,14215,Corner,IR1,0,60,RL,380.0,BrkFace,11,NridgHt,154,5,8,Y,0,CompShg,Gable,Partial,325300.0,New,0,1158.0,240,13,5161.0,4,4
0,3,1Fam,5.0,1.0,1,1,5.0,Y,Norm,FuseF,205,5,5,Wd Sdng,7.0,1,PConc,280.0,1.0,5.0,1,5.0,Attchd,1108,GasA,9,1.5Unf,1,7.0,Bnk,Gtl,7449,Inside,Reg,0,45,RM,0.0,None,6,IDOTRR,0,7,7,N,0,CompShg,Gable,Normal,139400.0,WD,0,637.0,0,88,2230.0,2,1
0,3,1Fam,5.0,1.0,1,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,534.0,2.0,5.0,2,5.0,Attchd,1795,GasA,9,1Story,1,7.0,Lvl,Gtl,9742,Inside,Reg,0,20,RL,281.0,BrkFace,9,CollgCr,159,5,8,Y,0,CompShg,Hip,Normal,230000.0,WD,0,1777.0,171,16,4717.0,3,2
0,3,TwnhsE,5.0,1.0,6,1,7.0,Y,Norm,SBrkr,0,5,5,CemntBd,5.0,1,PConc,572.0,2.0,5.0,1,5.0,Attchd,1060,GasA,5,1Story,1,5.0,Lvl,Gtl,4224,Inside,Reg,0,120,RM,0.0,None,6,MeadowV,110,7,5,Y,0,CompShg,Gable,Normal,129900.0,WD,0,1040.0,100,42,2882.0,2,2
0,3,1Fam,5.0,2.0,3,5,5.0,Y,Norm,SBrkr,0,7,5,Plywood,5.0,1,CBlock,270.0,1.0,5.0,1,5.0,Attchd,1060,GasA,9,1Story,1,7.0,Lvl,Gtl,8246,Inside,IR1,0,20,RL,0.0,None,5,Sawyer,90,8,5,Y,0,CompShg,Gable,Normal,154000.0,WD,0,1060.0,406,50,2886.0,2,2
0,3,1Fam,5.0,1.0,1,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,890.0,3.0,5.0,2,5.0,Attchd,1600,GasA,9,1Story,1,7.0,Lvl,Gtl,14230,Corner,Reg,0,20,RL,640.0,Stone,7,NridgHt,56,5,8,Y,0,CompShg,Gable,Normal,256300.0,WD,0,1566.0,0,11,4752.0,3,2
0,3,1Fam,5.0,2.0,4,3,5.0,Y,Norm,SBrkr,0,5,5,Wd Sdng,0.0,0,CBlock,576.0,2.0,5.0,1,5.0,Detchd,900,GasA,5,1Story,1,7.0,Lvl,Gtl,7200,Corner,Reg,0,20,RL,0.0,None,5,NAmes,32,7,5,Y,0,CompShg,Gable,Normal,134800.0,WD,0,900.0,222,67,2630.0,1,2
0,3,1Fam,5.0,1.0,6,1,9.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,772.0,3.0,5.0,2,5.0,Attchd,1704,GasA,9,1Story,1,7.0,Lvl,Gtl,11478,Inside,Reg,0,20,RL,200.0,Stone,5,NridgHt,50,5,8,Y,0,CompShg,Gable,Normal,306000.0,WD,0,1704.0,0,11,4430.0,3,3
0,2,1Fam,5.0,4.0,4,1,5.0,Y,Norm,SBrkr,0,5,5,MetalSd,7.0,2,CBlock,319.0,1.0,5.0,2,5.0,Attchd,1600,GasA,5,1Story,1,5.0,Lvl,Gtl,16321,CulDSac,IR1,0,20,RL,0.0,None,12,NAmes,258,6,5,Y,0,CompShg,Gable,Normal,207500.0,WD,0,1484.0,288,61,3949.0,3,2
0,1,1Fam,5.0,1.0,1,1,5.0,N,Feedr,SBrkr,87,5,5,MetalSd,0.0,0,BrkTil,240.0,1.0,5.0,1,3.0,Detchd,520,GasA,3,1Story,1,3.0,Lvl,Gtl,6324,Inside,IR1,0,30,RM,0.0,None,5,BrkSide,0,6,4,Y,0,CompShg,Gable,Normal,68500.0,WD,0,520.0,49,91,1416.0,2,1
0,3,1Fam,5.0,1.0,1,1,5.0,N,Feedr,SBrkr,172,3,5,BrkFace,0.0,0,BrkTil,250.0,1.0,3.0,1,5.0,Detchd,1317,GasA,5,2Story,1,5.0,Lvl,Gtl,8500,Inside,Reg,0,70,C (all),0.0,None,7,IDOTRR,54,4,4,N,0,CompShg,Gambrel,Normal,40000.0,WD,0,649.0,0,98,2442.0,2,1
0,3,1Fam,5.0,1.0,1,1,5.0,Y,Norm,SBrkr,0,5,5,HdBoard,0.0,0,CBlock,271.0,1.0,5.0,1,5.0,Attchd,1228,GasA,7,1Story,1,7.0,Lvl,Gtl,8544,CulDSac,IR1,0,20,RL,0.0,None,6,Sawyer,65,6,5,Y,0,CompShg,Gable,Normal,149350.0,WD,0,1228.0,0,52,2792.0,2,2
0,3,1Fam,5.0,3.0,1,1,9.0,Y,Norm,SBrkr,0,5,7,VinylSd,0.0,0,PConc,484.0,2.0,5.0,2,5.0,Attchd,1234,GasA,9,1Story,1,7.0,Lvl,Gtl,11049,Corner,Reg,0,20,RL,0.0,None,1,CollgCr,30,5,8,Y,0,CompShg,Gable,Normal,179900.0,WD,0,1234.0,0,11,2982.0,3,2
0,4,1Fam,5.0,1.0,3,1,5.0,Y,Norm,SBrkr,0,5,5,BrkFace,7.0,1,CBlock,447.0,2.0,5.0,2,5.0,Attchd,1700,GasA,7,1Story,1,7.0,Lvl,Gtl,10552,Inside,IR1,0,20,RL,0.0,None,4,NAmes,38,5,5,Y,0,CompShg,Hip,Normal,165500.0,WD,0,1398.0,0,59,3583.0,1,3
0,2,TwnhsE,5.0,1.0,6,1,9.0,Y,Norm,SBrkr,0,5,9,MetalSd,7.0,1,PConc,556.0,2.0,5.0,3,5.0,Attchd,1561,GasA,9,1Story,1,9.0,Lvl,Gtl,7313,Inside,Reg,0,120,RL,246.0,BrkFace,8,NridgHt,47,5,9,Y,0,CompShg,Hip,Normal,277500.0,WD,0,1561.0,203,13,4174.0,3,3
0,4,1Fam,5.0,3.0,1,1,9.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,691.0,3.0,5.0,3,5.0,BuiltIn,2452,GasA,9,2Story,1,7.0,Lvl,Gtl,13418,Inside,Reg,0,60,RL,132.0,Stone,9,NridgHt,32,5,8,Y,0,CompShg,Gable,Normal,309000.0,WD,0,1117.0,113,14,4537.0,4,4
0,3,1Fam,5.0,1.0,1,1,7.0,Y,Norm,SBrkr,0,5,5,VinylSd,0.0,0,PConc,672.0,2.0,5.0,1,5.0,Attchd,1097,GasA,9,1Story,1,5.0,Lvl,Gtl,10859,Corner,Reg,0,20,RL,0.0,None,6,CollgCr,64,5,5,Y,0,CompShg,Gable,Normal,145000.0,WD,0,1097.0,392,24,3322.0,2,2
0,3,1Fam,5.0,1.0,3,1,5.0,Y,Norm,SBrkr,0,5,5,Wd Sdng,5.0,1,CBlock,498.0,2.0,5.0,3,5.0,Attchd,1297,GasA,7,1Story,1,5.0,Lvl,Gtl,8532,Inside,Reg,0,20,RL,650.0,BrkFace,10,NAmes,0,6,5,Y,0,CompShg,Hip,Normal,153000.0,WD,0,1297.0,0,64,3742.0,1,2
0,3,1Fam,5.0,1.0,6,1,5.0,Y,Norm,SBrkr,0,7,5,VinylSd,0.0,0,CBlock,246.0,1.0,5.0,1,5.0,Detchd,1057,GasA,5,1Story,1,7.0,Lvl,Gtl,7922,Inside,Reg,0,20,RL,0.0,None,1,NAmes,52,7,5,Y,0,CompShg,Gable,Abnorml,109000.0,WD,0,1057.0,0,65,2412.0,1,2
0,2,Duplex,0.0,0.0,0,0,0.0,N,Norm,FuseP,0,5,5,AsbShng,0.0,0,PConc,0.0,0.0,0.0,0,0.0,No,1152,GasA,5,1Story,2,3.0,Lvl,Gtl,6040,Inside,Reg,0,90,RL,0.0,None,6,Edwards,0,5,4,N,0,CompShg,Gable,AdjLand,82000.0,WD,0,0.0,0,63,1152.0,2,2
0,3,1Fam,5.0,1.0,3,1,5.0,Y,Norm,SBrkr,0,5,5,Wd Sdng,5.0,1,CBlock,440.0,2.0,5.0,2,5.0,Attchd,1324,GasA,9,1Story,1,5.0,Lvl,Gtl,8658,Inside,Reg,0,20,RL,101.0,BrkFace,12,NAmes,138,5,6,Y,0,CompShg,Gable,Abnorml,160000.0,WD,0,1088.0,0,53,3091.0,2,2
0,2,1Fam,5.0,4.0,4,1,5.0,Y,Norm,SBrkr,0,7,5,VinylSd,7.0,2,CBlock,308.0,1.0,5.0,2,5.0,Attchd,1328,GasA,7,1Story,1,5.0,Lvl,Gtl,16905,Inside,Reg,0,20,RL,0.0,None,7,Timber,104,6,5,P,0,CompShg,Gable,Normal,170000.0,WD,0,1350.0,0,59,3090.0,2,3
0,2,1Fam,5.0,3.0,5,2,7.0,Y,Norm,SBrkr,0,5,5,HdBoard,0.0,0,CBlock,504.0,2.0,7.0,2,5.0,Attchd,884,GasA,7,SFoyer,1,7.0,Lvl,Gtl,9180,CulDSac,IR1,0,85,RL,0.0,None,12,SawyerW,0,7,5,Y,0,CompShg,Gable,Normal,144000.0,WD,0,840.0,240,35,2468.0,2,2
0,3,1Fam,5.0,3.0,2,4,7.0,Y,Norm,SBrkr,0,5,5,VinylSd,0.0,0,CBlock,308.0,1.0,5.0,1,5.0,Detchd,938,GasA,5,1Story,1,5.0,Lvl,Gtl,9200,CulDSac,IR1,0,20,RL,0.0,None,7,CollgCr,0,6,5,Y,0,CompShg,Hip,Normal,130250.0,WD,0,938.0,145,43,2329.0,1,2
0,3,1Fam,5.0,1.0,5,4,5.0,Y,Norm,FuseA,0,5,5,BrkFace,0.0,0,CBlock,300.0,1.0,5.0,2,5.0,Attchd,1150,GasA,9,1Story,1,5.0,Lvl,Gtl,7945,Inside,Reg,0,20,RL,0.0,None,5,NAmes,0,6,5,Y,0,CompShg,Gable,Normal,141000.0,WD,0,1150.0,0,59,2600.0,2,2
0,2,TwnhsE,5.0,1.0,6,1,9.0,Y,Norm,SBrkr,0,5,9,MetalSd,7.0,1,PConc,576.0,2.0,5.0,2,5.0,Attchd,1752,GasA,9,1Story,1,9.0,Lvl,Gtl,7658,Inside,Reg,0,120,RL,412.0,BrkFace,2,NridgHt,82,5,9,Y,0,CompShg,Hip,Normal,319900.0,WD,0,1752.0,196,13,4770.0,3,3
0,1,1Fam,5.0,1.0,6,1,9.0,Y,Norm,SBrkr,0,5,7,VinylSd,9.0,1,PConc,670.0,2.0,5.0,2,5.0,Attchd,2149,GasA,9,1.5Fin,1,7.0,Lvl,Gtl,12822,CulDSac,IR1,0,50,RL,0.0,None,8,Mitchel,43,5,7,Y,0,CompShg,Gable,Abnorml,239686.0,WD,198,1434.0,168,15,4662.0,4,3
0,3,1Fam,5.0,3.0,6,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,0.0,0,PConc,826.0,3.0,5.0,2,5.0,Attchd,1656,GasA,9,1Story,1,7.0,Lvl,Gtl,11096,Inside,Reg,0,20,FV,0.0,None,7,Somerst,146,5,8,Y,0,CompShg,Gable,Normal,249700.0,WD,0,1656.0,0,12,4284.0,3,2
0,2,2fmCon,5.0,1.0,1,1,5.0,Y,Norm,SBrkr,102,5,5,MetalSd,0.0,0,BrkTil,0.0,0.0,0.0,0,0.0,No,1452,GasA,7,2Story,3,5.0,Lvl,Gtl,4456,Inside,Reg,0,190,RM,0.0,None,6,OldTown,0,5,4,N,0,CompShg,Gable,Partial,113000.0,New,0,736.0,0,98,2290.0,3,2
0,3,1Fam,5.0,1.0,4,1,5.0,Y,Norm,SBrkr,0,5,5,HdBoard,0.0,0,CBlock,386.0,1.0,5.0,1,5.0,Attchd,955,GasA,9,1Story,1,5.0,Lvl,Gtl,7742,Inside,Reg,0,20,RL,0.0,None,1,Sawyer,0,7,5,Y,0,CompShg,Gable,Normal,127000.0,WD,0,955.0,0,52,2296.0,2,2
0,3,1Fam,5.0,3.0,6,1,7.0,Y,Norm,SBrkr,0,5,5,VinylSd,0.0,0,PConc,388.0,2.0,5.0,3,5.0,Attchd,1470,GasA,7,2Story,1,5.0,Lvl,Gtl,13869,Corner,IR2,0,60,RL,0.0,None,7,Gilbert,75,6,6,Y,0,CompShg,Gable,Normal,177000.0,WD,0,794.0,0,21,2727.0,2,3
0,3,1Fam,5.0,1.0,1,1,5.0,Y,Norm,SBrkr,0,5,5,Wd Sdng,7.0,1,PConc,528.0,2.0,5.0,1,5.0,Detchd,1176,GasA,5,1.5Fin,1,5.0,Lvl,Gtl,6240,Inside,Reg,360,50,RM,0.0,None,9,BrkSide,0,6,6,Y,0,CompShg,Gable,Normal,114500.0,WD,0,816.0,112,84,2992.0,2,1
0,2,Duplex,5.0,4.0,2,6,7.0,N,RRNn,SBrkr,0,5,3,Wd Sdng,0.0,0,CBlock,516.0,2.0,5.0,1,5.0,CarPort,816,GasA,5,1Story,1,5.0,Bnk,Mod,8472,Corner,IR2,0,90,RM,0.0,None,5,IDOTRR,0,5,5,Y,0,CompShg,Gable,Normal,110000.0,WD,0,816.0,106,55,2254.0,2,2
0,0,1Fam,5.0,4.0,6,1,9.0,Y,Norm,SBrkr,0,5,7,WdShing,7.0,1,CBlock,894.0,3.0,5.0,3,5.0,Attchd,1842,GasA,7,1Story,1,7.0,Low,Gtl,50271,Inside,IR1,0,20,RL,0.0,None,11,Veenker,72,5,9,Y,0,WdShngl,Gable,Normal,385000.0,WD,0,1842.0,857,37,5507.0,4,3
0,3,1Fam,5.0,1.0,5,1,5.0,Y,Norm,SBrkr,0,5,5,MetalSd,5.0,1,CBlock,572.0,2.0,5.0,1,5.0,Detchd,1360,GasA,5,SLvl,1,5.0,Bnk,Mod,7134,Inside,Reg,0,80,RL,0.0,None,2,NAmes,50,5,5,Y,0,CompShg,Gable,Normal,130000.0,WD,0,384.0,0,63,2366.0,2,1
407,3,1Fam,5.0,1.0,4,1,5.0,Y,Norm,SBrkr,0,5,5,HdBoard,7.0,1,CBlock,576.0,2.0,5.0,2,5.0,Attchd,1425,GasA,7,1Story,1,5.0,Lvl,Gtl,10175,Inside,IR1,0,20,RL,272.0,BrkFace,7,NAmes,0,5,6,Y,0,CompShg,Gable,Normal,180500.0,WD,0,1425.0,0,54,4105.0,3,2
0,3,Twnhs,5.0,1.0,6,1,7.0,Y,Norm,SBrkr,0,5,7,MetalSd,0.0,0,PConc,480.0,2.0,5.0,3,5.0,Attchd,1739,GasA,9,2Story,1,7.0,Lvl,Gtl,2645,Inside,Reg,0,160,FV,456.0,BrkFace,8,Somerst,0,5,8,Y,0,CompShg,Gable,Abnorml,172500.0,WD,0,970.0,115,19,3760.0,3,4
0,3,1Fam,5.0,1.0,1,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,0.0,0,PConc,565.0,2.0,5.0,2,5.0,Attchd,1720,GasA,9,2Story,1,7.0,Lvl,Gtl,11645,Corner,IR1,0,60,RL,0.0,None,8,CollgCr,70,5,7,Y,0,CompShg,Gable,Normal,196500.0,WD,0,860.0,0,14,3215.0,3,3
0,3,1Fam,5.0,4.0,1,1,9.0,Y,Norm,SBrkr,37,5,9,VinylSd,7.0,1,PConc,641.0,3.0,5.0,3,5.0,BuiltIn,2945,GasA,9,2Story,1,7.0,HLS,Gtl,13682,CulDSac,IR2,0,60,RL,1031.0,BrkFace,10,StoneBr,0,5,10,Y,0,CompShg,Hip,Partial,438780.0,New,0,1410.0,192,12,6256.0,6,4
0,2,1Fam,5.0,3.0,5,1,5.0,Y,Norm,SBrkr,0,5,5,HdBoard,0.0,0,CBlock,352.0,1.0,5.0,1,5.0,Detchd,780,GasA,9,1Story,1,5.0,Bnk,Gtl,7200,Inside,Reg,0,20,RL,0.0,None,1,CollgCr,0,7,5,Y,0,CompShg,Gable,Normal,124900.0,WD,0,780.0,196,46,2108.0,1,1
0,3,1Fam,5.0,1.0,5,1,7.0,Y,RRAe,SBrkr,0,5,5,VinylSd,0.0,0,PConc,576.0,2.0,5.0,1,5.0,Detchd,1158,GasA,9,1Story,1,7.0,Lvl,Gtl,13072,Inside,Reg,0,20,RL,0.0,None,5,SawyerW,50,5,6,Y,0,CompShg,Gable,Partial,158000.0,New,0,1158.0,0,14,2942.0,1,3
0,3,1Fam,3.0,1.0,1,1,5.0,N,Norm,SBrkr,144,5,5,MetalSd,0.0,0,BrkTil,288.0,1.0,5.0,1,5.0,Detchd,1111,GasA,5,2.5Unf,1,3.0,Lvl,Gtl,7200,Inside,Reg,0,75,RM,0.0,None,3,IDOTRR,0,7,5,N,0,CompShg,Gable,Normal,101000.0,WD,0,530.0,0,98,2073.0,2,1
0,2,TwnhsE,7.0,2.0,6,1,7.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,484.0,2.0,5.0,2,5.0,Attchd,1370,GasA,9,1Story,1,7.0,Lvl,Gtl,6442,Inside,IR1,0,120,RL,178.0,Stone,10,NridgHt,49,5,8,Y,0,CompShg,Gable,Normal,202500.0,WD,0,1370.0,120,12,3571.0,3,2
0,3,1Fam,5.0,1.0,1,1,5.0,Y,RRAn,SBrkr,64,5,5,Stucco,0.0,0,BrkTil,480.0,2.0,5.0,1,5.0,Detchd,1710,GasA,7,2Story,1,5.0,Bnk,Gtl,10300,Inside,IR1,0,70,RM,0.0,None,4,OldTown,11,6,7,Y,0,CompShg,Gable,Normal,140000.0,WD,0,576.0,12,97,2853.0,5,2
0,3,1Fam,5.0,1.0,6,1,7.0,Y,Norm,SBrkr,0,5,5,VinylSd,0.0,0,PConc,645.0,2.0,5.0,2,5.0,Attchd,2034,GasA,9,2Story,1,7.0,Lvl,Gtl,9375,Inside,Reg,0,60,RL,573.0,BrkFace,2,CollgCr,36,5,7,Y,0,CompShg,Gable,Normal,219500.0,WD,0,1057.0,576,21,4921.0,4,4
0,4,1Fam,5.0,3.0,1,1,9.0,Y,Norm,SBrkr,0,5,7,VinylSd,7.0,1,PConc,852.0,3.0,5.0,2,5.0,BuiltIn,2473,GasA,9,2Story,1,7.0,Lvl,Gtl,9591,Inside,Reg,0,60,RL,344.0,BrkFace,10,NridgHt,151,5,8,Y,0,CompShg,Gable,Normal,317000.0,WD,0,1143.0,192,14,5155.0,4,3
